bidding_exercise,category,month,year,quota_premium,adjusted_premium
1,Cat B: >1600cc or >97kW,Jul,2024,100901,100827.39600091934
1,Cat C: Buses,Jul,2024,70001,69949.93654632119
1,Cat D: Motorcycles,Jul,2024,8900,8893.507739350274
2,Cat A: ≤1600cc or ≤97kW,Jun,2024,90889,90993.64268909245
2,Cat B: >1600cc or >97kW,Jun,2024,102334,102451.8195925314
2,Cat C: Buses,Jun,2024,69900,69980.47754918155
2,Cat D: Motorcycles,Jun,2024,9002,9012.364218851679
1,Cat A: ≤1600cc or ≤97kW,Jun,2024,88200,88301.54677879561
1,Cat B: >1600cc or >97kW,Jun,2024,100607,100722.83125594433
1,Cat C: Buses,Jun,2024,70589,70670.27081143315
1,Cat D: Motorcycles,Jun,2024,8989,8999.349251639385
2,Cat A: ≤1600cc or ≤97kW,May,2024,92700,92709.27092709272
2,Cat B: >1600cc or >97kW,May,2024,105689,105699.5699569957
2,Cat C: Buses,May,2024,72001,72008.20082008201
2,Cat D: Motorcycles,May,2024,9311,9311.931193119312
1,Cat A: ≤1600cc or ≤97kW,May,2024,93604,93613.36133613362
1,Cat B: >1600cc or >97kW,May,2024,105002,105012.50125012502
1,Cat C: Buses,May,2024,70001,70008.00080008002
1,Cat D: Motorcycles,May,2024,9503,9503.950395039505
2,Cat A: ≤1600cc or ≤97kW,Apr,2024,94010,94071.14624505928
2,Cat B: >1600cc or >97kW,Apr,2024,102001,102067.34377345274
2,Cat C: Buses,Apr,2024,68502,68546.5552609196
2,Cat D: Motorcycles,Apr,2024,9990,9996.497723520288
1,Cat A: ≤1600cc or ≤97kW,Apr,2024,89000,89057.88762695753
1,Cat B: >1600cc or >97kW,Apr,2024,101334,101399.90994146194
1,Cat C: Buses,Apr,2024,67501,67544.90418772202
1,Cat D: Motorcycles,Apr,2024,10000,10006.504227748035
2,Cat A: ≤1600cc or ≤97kW,Mar,2024,85489,85923.77429794762
2,Cat B: >1600cc or >97kW,Mar,2024,96011,96499.28638912899
2,Cat C: Buses,Mar,2024,70112,70468.57096910366
2,Cat D: Motorcycles,Mar,2024,9689,9738.27567491507
1,Cat A: ≤1600cc or ≤97kW,Mar,2024,83000,83422.11590648683
1,Cat B: >1600cc or >97kW,Mar,2024,96010,96498.28130339518
1,Cat C: Buses,Mar,2024,75599,75983.47639053612
1,Cat D: Motorcycles,Mar,2024,9400,9447.805897843085
2,Cat A: ≤1600cc or ≤97kW,Feb,2024,76801,77203.22882216347
2,Cat B: >1600cc or >97kW,Feb,2024,97000,97508.01676735794
2,Cat C: Buses,Feb,2024,73001,73383.32713437006
2,Cat D: Motorcycles,Feb,2024,8911,8957.669457875532
1,Cat A: ≤1600cc or ≤97kW,Feb,2024,79000,79413.74561465233
1,Cat B: >1600cc or >97kW,Feb,2024,102338,102873.9734014214
1,Cat C: Buses,Feb,2024,72001,72378.08984810865
1,Cat D: Motorcycles,Feb,2024,9290,9338.65438936861
2,Cat A: ≤1600cc or ≤97kW,Jan,2024,81589,82032.79743411858
2,Cat B: >1600cc or >97kW,Jan,2024,112000,112609.21585779064
2,Cat C: Buses,Jan,2024,68001,68370.88649594305
2,Cat D: Motorcycles,Jan,2024,9309,9359.635628751546
1,Cat A: ≤1600cc or ≤97kW,Jan,2024,65010,65363.61716888366
1,Cat B: >1600cc or >97kW,Jan,2024,85010,85472.4057149177
1,Cat C: Buses,Jan,2024,67599,67966.69984616777
1,Cat D: Motorcycles,Jan,2024,9114,9163.574940427714
2,Cat A: ≤1600cc or ≤97kW,Dec,2023,85000,85845.57895268394
2,Cat B: >1600cc or >97kW,Dec,2023,110001,111095.28859263747
2,Cat C: Buses,Dec,2023,69423,70113.61914861384
2,Cat D: Motorcycles,Dec,2023,9002,9091.551785083067
1,Cat A: ≤1600cc or ≤97kW,Dec,2023,88020,88895.62187547341
1,Cat B: >1600cc or >97kW,Dec,2023,130100,131394.23319699036
1,Cat C: Buses,Dec,2023,71001,71707.31707317074
1,Cat D: Motorcycles,Dec,2023,9858,9956.067262535978
2,Cat A: ≤1600cc or ≤97kW,Nov,2023,85001,86167.71080429008
2,Cat B: >1600cc or >97kW,Nov,2023,135336,137193.60136244755
2,Cat C: Buses,Nov,2023,73889,74903.18918151775
2,Cat D: Motorcycles,Nov,2023,10001,10138.2722056647
1,Cat A: ≤1600cc or ≤97kW,Nov,2023,95689,97002.41266751819
1,Cat B: >1600cc or >97kW,Nov,2023,110001,111510.85700383189
1,Cat C: Buses,Nov,2023,78001,79071.62986841839
1,Cat D: Motorcycles,Nov,2023,10889,11038.460758672425
2,Cat A: ≤1600cc or ≤97kW,Oct,2023,106000,106787.0203399051
2,Cat B: >1600cc or >97kW,Oct,2023,150001,151114.7154528878
2,Cat C: Buses,Oct,2023,84790,85419.54202472219
2,Cat D: Motorcycles,Oct,2023,11201,11284.164290823368
1,Cat A: ≤1600cc or ≤97kW,Oct,2023,104000,104772.17089952953
1,Cat B: >1600cc or >97kW,Oct,2023,146002,147086.02399685682
1,Cat C: Buses,Oct,2023,85900,86537.78346413064
1,Cat D: Motorcycles,Oct,2023,10856,10936.602762358581
2,Cat A: ≤1600cc or ≤97kW,Sep,2023,105000,106475.75394974343
2,Cat B: >1600cc or >97kW,Sep,2023,140889,142869.16664976574
2,Cat C: Buses,Sep,2023,83801,84978.80625469
2,Cat D: Motorcycles,Sep,2023,10700,10850.386354878618
1,Cat A: ≤1600cc or ≤97kW,Sep,2023,101000,102419.53475165798
1,Cat B: >1600cc or >97kW,Sep,2023,134889,136784.83785263755
1,Cat C: Buses,Sep,2023,82889,84053.98827752651
1,Cat D: Motorcycles,Sep,2023,10901,11054.211369582412
2,Cat A: ≤1600cc or ≤97kW,Aug,2023,100000,101919.13735642142
2,Cat B: >1600cc or >97kW,Aug,2023,129890,132382.76751225578
2,Cat C: Buses,Aug,2023,82801,84390.06492249049
2,Cat D: Motorcycles,Aug,2023,11402,11620.82004137917
1,Cat A: ≤1600cc or ≤97kW,Aug,2023,99499,101408.52247826575
1,Cat B: >1600cc or >97kW,Aug,2023,126889,129324.17420018956
1,Cat C: Buses,Aug,2023,82100,83675.61176962197
1,Cat D: Motorcycles,Aug,2023,11501,11721.719987362027
2,Cat A: ≤1600cc or ≤97kW,Jul,2023,95202,97442.19608806461
2,Cat B: >1600cc or >97kW,Jul,2023,118001,120777.67883645
2,Cat C: Buses,Jul,2023,82001,83930.56365850913
2,Cat D: Motorcycles,Jul,2023,10501,10748.098791209917
