"bidding_exercise","category","month","year","quota_premium","quota"
"1","Cat A: ≤1600cc or ≤97kW","May",2024,93604,968
"1","Cat B: >1600cc or >97kW","May",2024,105002,666
"1","Cat C: Buses","May",2024,70001,206
"1","Cat D: Motorcycles","May",2024,9503,528
"2","Cat A: ≤1600cc or ≤97kW","Apr",2024,94010,936
"2","Cat B: >1600cc or >97kW","Apr",2024,102001,690
"2","Cat C: Buses","Apr",2024,68502,195
"2","Cat D: Motorcycles","Apr",2024,9990,522
"1","Cat A: ≤1600cc or ≤97kW","Apr",2024,89000,975
"1","Cat B: >1600cc or >97kW","Apr",2024,101334,653
"1","Cat C: Buses","Apr",2024,67501,197
"1","Cat D: Motorcycles","Apr",2024,10000,520
"2","Cat A: ≤1600cc or ≤97kW","Mar",2024,85489,936
"2","Cat B: >1600cc or >97kW","Mar",2024,96011,656
"2","Cat C: Buses","Mar",2024,70112,202
"2","Cat D: Motorcycles","Mar",2024,9689,521
"1","Cat A: ≤1600cc or ≤97kW","Mar",2024,83000,963
"1","Cat B: >1600cc or >97kW","Mar",2024,96010,708
"1","Cat C: Buses","Mar",2024,75599,200
"1","Cat D: Motorcycles","Mar",2024,9400,520
"2","Cat A: ≤1600cc or ≤97kW","Feb",2024,76801,937
"2","Cat B: >1600cc or >97kW","Feb",2024,97000,649
"2","Cat C: Buses","Feb",2024,73001,199
"2","Cat D: Motorcycles","Feb",2024,8911,548
"1","Cat A: ≤1600cc or ≤97kW","Feb",2024,79000,938
"1","Cat B: >1600cc or >97kW","Feb",2024,102338,655
"1","Cat C: Buses","Feb",2024,72001,196
"1","Cat D: Motorcycles","Feb",2024,9290,530
"2","Cat A: ≤1600cc or ≤97kW","Jan",2024,81589,923
"2","Cat B: >1600cc or >97kW","Jan",2024,112000,657
"2","Cat C: Buses","Jan",2024,68001,191
"2","Cat D: Motorcycles","Jan",2024,9309,520
"1","Cat A: ≤1600cc or ≤97kW","Jan",2024,65010,924
"1","Cat B: >1600cc or >97kW","Jan",2024,85010,633
"1","Cat C: Buses","Jan",2024,67599,193
"1","Cat D: Motorcycles","Jan",2024,9114,523
"2","Cat A: ≤1600cc or ≤97kW","Dec",2023,85000,919
"2","Cat B: >1600cc or >97kW","Dec",2023,110001,643
"2","Cat C: Buses","Dec",2023,69423,192
"2","Cat D: Motorcycles","Dec",2023,9002,546
"1","Cat A: ≤1600cc or ≤97kW","Dec",2023,88020,928
"1","Cat B: >1600cc or >97kW","Dec",2023,130100,638
"1","Cat C: Buses","Dec",2023,71001,193
"1","Cat D: Motorcycles","Dec",2023,9858,529
"2","Cat A: ≤1600cc or ≤97kW","Nov",2023,85001,925
"2","Cat B: >1600cc or >97kW","Nov",2023,135336,648
"2","Cat C: Buses","Nov",2023,73889,190
"2","Cat D: Motorcycles","Nov",2023,10001,545
"1","Cat A: ≤1600cc or ≤97kW","Nov",2023,95689,924
"1","Cat B: >1600cc or >97kW","Nov",2023,110001,636
"1","Cat C: Buses","Nov",2023,78001,190
"1","Cat D: Motorcycles","Nov",2023,10889,520
"2","Cat A: ≤1600cc or ≤97kW","Oct",2023,106000,797
"2","Cat B: >1600cc or >97kW","Oct",2023,150001,472
"2","Cat C: Buses","Oct",2023,84790,114
"2","Cat D: Motorcycles","Oct",2023,11201,502
"1","Cat A: ≤1600cc or ≤97kW","Oct",2023,104000,785
"1","Cat B: >1600cc or >97kW","Oct",2023,146002,474
"1","Cat C: Buses","Oct",2023,85900,114
"1","Cat D: Motorcycles","Oct",2023,10856,497
"2","Cat A: ≤1600cc or ≤97kW","Sep",2023,105000,651
"2","Cat B: >1600cc or >97kW","Sep",2023,140889,496
"2","Cat C: Buses","Sep",2023,83801,114
"2","Cat D: Motorcycles","Sep",2023,10700,502
"1","Cat A: ≤1600cc or ≤97kW","Sep",2023,101000,645
"1","Cat B: >1600cc or >97kW","Sep",2023,134889,470
"1","Cat C: Buses","Sep",2023,82889,115
"1","Cat D: Motorcycles","Sep",2023,10901,573
"2","Cat A: ≤1600cc or ≤97kW","Aug",2023,1e+05,636
