"bidding_exercise","category","month_year","quota_premium","bid_to_quota"
"1","Cat D (Motorcycles)","Dec 2007",1012,1.68942731277533
"1","Cat E (Open)","Dec 2007",15501,1.56158088235294
"2","Cat A (Cars up to 1600cc and 97kW)","Dec 2007",14001,1.19703977798335
"2","Cat B (Cars above 1600cc or 97kW)","Dec 2007",15802,1.40266666666667
"2","Cat C (Goods vehicles and buses)","Dec 2007",11851,1.31395348837209
"2","Cat D (Motorcycles)","Dec 2007",889,1.32914046121593
"2","Cat E (Open)","Dec 2007",16000,1.41666666666667
"1","Cat A (Cars up to 1600cc and 97kW)","Jan 2008",14052,1.18085106382979
"1","Cat B (Cars above 1600cc or 97kW)","Jan 2008",15989,1.32764505119454
"1","Cat D (Motorcycles)","Jan 2008",1101,1.10947368421053
"1","Cat C (Goods vehicles and buses)","Jan 2008",13000,1.26704545454545
"1","Cat E (Open)","Jan 2008",15601,1.51553930530165
"2","Cat A (Cars up to 1600cc and 97kW)","Jan 2008",12001,1.17032720753026
"2","Cat B (Cars above 1600cc or 97kW)","Jan 2008",13289,1.16083916083916
"2","Cat D (Motorcycles)","Jan 2008",1012,1.24153498871332
"2","Cat C (Goods vehicles and buses)","Jan 2008",12501,1.21489971346705
"2","Cat E (Open)","Jan 2008",13801,1.56458511548332
"1","Cat A (Cars up to 1600cc and 97kW)","Feb 2008",12002,1.38670973696354
"1","Cat B (Cars above 1600cc or 97kW)","Feb 2008",13209,1.28331862312445
"1","Cat D (Motorcycles)","Feb 2008",999,1.46938775510204
"1","Cat C (Goods vehicles and buses)","Feb 2008",13001,1.54341736694678
"1","Cat E (Open)","Feb 2008",13301,1.63403476669716
"2","Cat A (Cars up to 1600cc and 97kW)","Feb 2008",12856,1.27586206896552
"2","Cat B (Cars above 1600cc or 97kW)","Feb 2008",15510,1.45066666666667
"2","Cat D (Motorcycles)","Feb 2008",951,1.45202558635394
"2","Cat C (Goods vehicles and buses)","Feb 2008",15002,1.36962750716332
"2","Cat E (Open)","Feb 2008",15110,1.52983725135624
"1","Cat A (Cars up to 1600cc and 97kW)","Mar 2008",14351,1.25610317825887
"1","Cat B (Cars above 1600cc or 97kW)","Mar 2008",18000,1.33244444444444
"1","Cat D (Motorcycles)","Mar 2008",959,1.38461538461538
"1","Cat C (Goods vehicles and buses)","Mar 2008",16310,1.5625
"1","Cat E (Open)","Mar 2008",18670,1.77297794117647
"2","Cat A (Cars up to 1600cc and 97kW)","Mar 2008",15389,1.14484035168903
"2","Cat B (Cars above 1600cc or 97kW)","Mar 2008",19001,1.22743362831858
"2","Cat D (Motorcycles)","Mar 2008",901,1.50797266514806
"2","Cat C (Goods vehicles and buses)","Mar 2008",17610,1.29799426934097
"2","Cat E (Open)","Mar 2008",18854,1.57444852941176
"1","Cat A (Cars up to 1600cc and 97kW)","Apr 2008",16930,1.25795398923152
"1","Cat B (Cars above 1600cc or 97kW)","Apr 2008",19501,1.2208480565371
"1","Cat D (Motorcycles)","Apr 2008",1012,1.30512249443207
"1","Cat C (Goods vehicles and buses)","Apr 2008",18900,1.15665796344648
"1","Cat E (Open)","Apr 2008",19389,1.53007945516459
"2","Cat A (Cars up to 1600cc and 97kW)","Apr 2008",15600,1.07907662082515
"2","Cat B (Cars above 1600cc or 97kW)","Apr 2008",17510,1.18319928507596
"2","Cat D (Motorcycles)","Apr 2008",1152,1.1978021978022
"2","Cat C (Goods vehicles and buses)","Apr 2008",18151,1.26912928759894
"2","Cat E (Open)","Apr 2008",18451,1.44355758266819
"1","Cat A (Cars up to 1600cc and 97kW)","May 2008",11009,1.07696054554311
"1","Cat B (Cars above 1600cc or 97kW)","May 2008",15889,1.11716621253406
"1","Cat D (Motorcycles)","May 2008",1289,1.27293064876957
"1","Cat C (Goods vehicles and buses)","May 2008",15889,1.28385416666667
"1","Cat E (Open)","May 2008",16500,1.59819413092551
"2","Cat A (Cars up to 1600cc and 97kW)","May 2008",15701,1.36888027144935
"2","Cat B (Cars above 1600cc or 97kW)","May 2008",17113,1.26909090909091
"2","Cat D (Motorcycles)","May 2008",1109,1.57438016528926
"2","Cat C (Goods vehicles and buses)","May 2008",14756,1.40105540897098
"2","Cat E (Open)","May 2008",16700,1.53538812785388
"1","Cat A (Cars up to 1600cc and 97kW)","Jun 2008",14590,1.22669283611384
"1","Cat B (Cars above 1600cc or 97kW)","Jun 2008",14640,1.13955555555556
"1","Cat D (Motorcycles)","Jun 2008",1083,1.55947136563877
"1","Cat C (Goods vehicles and buses)","Jun 2008",13501,1.3289124668435
"1","Cat E (Open)","Jun 2008",16301,1.3843537414966
"2","Cat A (Cars up to 1600cc and 97kW)","Jun 2008",14101,1.13843888070692
"2","Cat B (Cars above 1600cc or 97kW)","Jun 2008",14689,1.16469517743403
"2","Cat D (Motorcycles)","Jun 2008",1102,1.41163310961969
"2","Cat C (Goods vehicles and buses)","Jun 2008",12002,1.43603133159269
"2","Cat E (Open)","Jun 2008",15459,1.53986332574032
"1","Cat A (Cars up to 1600cc and 97kW)","Jul 2008",14685,1.20972495088409
"1","Cat B (Cars above 1600cc or 97kW)","Jul 2008",15501,1.25841674249318
"1","Cat D (Motorcycles)","Jul 2008",1551,1.578125
"1","Cat C (Goods vehicles and buses)","Jul 2008",12959,1.41909814323607
"1","Cat E (Open)","Jul 2008",15661,1.43771428571429
"2","Cat A (Cars up to 1600cc and 97kW)","Jul 2008",14101,1.203125
"2","Cat B (Cars above 1600cc or 97kW)","Jul 2008",14235,1.18926296633303
"2","Cat D (Motorcycles)","Jul 2008",1489,1.26315789473684
"2","Cat C (Goods vehicles and buses)","Jul 2008",12659,1.28756476683938
"2","Cat E (Open)","Jul 2008",14858,1.33863636363636
"1","Cat A (Cars up to 1600cc and 97kW)","Aug 2008",12501,1.11400491400491
"1","Cat B (Cars above 1600cc or 97kW)","Aug 2008",12889,1.13496376811594
"1","Cat D (Motorcycles)","Aug 2008",1413,1.51327433628319
"1","Cat C (Goods vehicles and buses)","Aug 2008",12589,1.359375
"1","Cat E (Open)","Aug 2008",14101,1.39027149321267
"2","Cat A (Cars up to 1600cc and 97kW)","Aug 2008",13289,1.1385068762279
"2","Cat B (Cars above 1600cc or 97kW)","Aug 2008",13890,1.2393084622384
"2","Cat D (Motorcycles)","Aug 2008",1310,1.22869955156951
"2","Cat C (Goods vehicles and buses)","Aug 2008",12989,1.3015873015873
"2","Cat E (Open)","Aug 2008",14001,1.49263873159683
"1","Cat A (Cars up to 1600cc and 97kW)","Sept 2008",9501,1.0657507360157
"1","Cat B (Cars above 1600cc or 97kW)","Sept 2008",13389,1.08735213830755
"1","Cat D (Motorcycles)","Sept 2008",1452,1.30648769574944
"1","Cat C (Goods vehicles and buses)","Sept 2008",13889,1.21038961038961
"1","Cat E (Open)","Sept 2008",14300,1.70795454545455
"2","Cat A (Cars up to 1600cc and 97kW)","Sept 2008",14100,1.35872235872236
"2","Cat B (Cars above 1600cc or 97kW)","Sept 2008",13301,1.14285714285714
"2","Cat D (Motorcycles)","Sept 2008",1554,1.35650224215247
"2","Cat C (Goods vehicles and buses)","Sept 2008",14890,1.27012987012987
"2","Cat E (Open)","Sept 2008",14889,1.6
"1","Cat A (Cars up to 1600cc and 97kW)","Oct 2008",13801,1.25
"1","Cat B (Cars above 1600cc or 97kW)","Oct 2008",14400,1.18197879858657
"1","Cat D (Motorcycles)","Oct 2008",1889,1.69512195121951
"1","Cat C (Goods vehicles and buses)","Oct 2008",15899,1.19548872180451
"1","Cat E (Open)","Oct 2008",15058,1.51724137931034
"2","Cat A (Cars up to 1600cc and 97kW)","Oct 2008",10989,1.16413867822319
"2","Cat B (Cars above 1600cc or 97kW)","Oct 2008",7589,1.18363636363636
"2","Cat D (Motorcycles)","Oct 2008",1609,1.37142857142857
"2","Cat C (Goods vehicles and buses)","Oct 2008",11503,1.44444444444444
"2","Cat E (Open)","Oct 2008",12001,1.43042912873862
"1","Cat A (Cars up to 1600cc and 97kW)","Nov 2008",10455,1.10876623376623
"1","Cat B (Cars above 1600cc or 97kW)","Nov 2008",8301,1.10646041856233
"1","Cat D (Motorcycles)","Nov 2008",1509,1.38425925925926
"1","Cat C (Goods vehicles and buses)","Nov 2008",8889,1.31226765799256
"1","Cat E (Open)","Nov 2008",10490,1.39605263157895
"2","Cat A (Cars up to 1600cc and 97kW)","Nov 2008",2,1.00054024851432
"2","Cat B (Cars above 1600cc or 97kW)","Nov 2008",4889,1.07363636363636
"2","Cat D (Motorcycles)","Nov 2008",1012,1.24878048780488
"2","Cat C (Goods vehicles and buses)","Nov 2008",6189,1.30496453900709
"2","Cat E (Open)","Nov 2008",6889,1.35667107001321
"1","Cat A (Cars up to 1600cc and 97kW)","Dec 2008",7721,1.71141304347826
"1","Cat B (Cars above 1600cc or 97kW)","Dec 2008",6501,1.28272727272727
"1","Cat D (Motorcycles)","Dec 2008",1102,1.54589371980676
"1","Cat C (Goods vehicles and buses)","Dec 2008",5212,1.40074906367041
"1","Cat E (Open)","Dec 2008",7589,1.7568988173456
"2","Cat A (Cars up to 1600cc and 97kW)","Dec 2008",6200,1.50621285791464
"2","Cat B (Cars above 1600cc or 97kW)","Dec 2008",2656,1.19600725952813
"2","Cat D (Motorcycles)","Dec 2008",1059,1.29951690821256
"2","Cat C (Goods vehicles and buses)","Dec 2008",4001,1.41287878787879
"2","Cat E (Open)","Dec 2008",6509,1.49934123847167
"1","Cat A (Cars up to 1600cc and 97kW)","Jan 2009",5001,1.38172920065253
"1","Cat B (Cars above 1600cc or 97kW)","Jan 2009",3089,1.21090909090909
"1","Cat D (Motorcycles)","Jan 2009",1000,1.42542787286064
"1","Cat C (Goods vehicles and buses)","Jan 2009",3502,1.25547445255474
"1","Cat E (Open)","Jan 2009",5701,1.45762711864407
"2","Cat A (Cars up to 1600cc and 97kW)","Jan 2009",2693,1.1468189233279
"2","Cat B (Cars above 1600cc or 97kW)","Jan 2009",200,1.07279344858963
"2","Cat D (Motorcycles)","Jan 2009",900,1.47445255474453
"2","Cat C (Goods vehicles and buses)","Jan 2009",2900,1.19402985074627
"2","Cat E (Open)","Jan 2009",3200,1.35224274406332
"1","Cat A (Cars up to 1600cc and 97kW)","Feb 2009",1020,1.09662090813094
"1","Cat B (Cars above 1600cc or 97kW)","Feb 2009",689,1.12010919017288
"1","Cat D (Motorcycles)","Feb 2009",701,1.61630695443645
"1","Cat C (Goods vehicles and buses)","Feb 2009",2590,1.32575757575758
"1","Cat E (Open)","Feb 2009",3000,1.62037037037037
"2","Cat A (Cars up to 1600cc and 97kW)","Feb 2009",4460,1.47453954496208
"2","Cat B (Cars above 1600cc or 97kW)","Feb 2009",4889,1.52134423251589
"2","Cat D (Motorcycles)","Feb 2009",801,1.49769585253456
"2","Cat C (Goods vehicles and buses)","Feb 2009",4190,1.48161764705882
"2","Cat E (Open)","Feb 2009",5889,1.97769028871391
"1","Cat A (Cars up to 1600cc and 97kW)","Mar 2009",4890,1.29200652528548
"1","Cat B (Cars above 1600cc or 97kW)","Mar 2009",5101,1.22252497729337
"1","Cat D (Motorcycles)","Mar 2009",958,1.6047619047619
"1","Cat C (Goods vehicles and buses)","Mar 2009",5300,1.93939393939394
"1","Cat E (Open)","Mar 2009",5700,1.70341207349081
"2","Cat A (Cars up to 1600cc and 97kW)","Mar 2009",5116,1.194791101465
"2","Cat B (Cars above 1600cc or 97kW)","Mar 2009",5001,1.22432432432432
"2","Cat D (Motorcycles)","Mar 2009",912,1.25427872860636
"2","Cat C (Goods vehicles and buses)","Mar 2009",5600,1.94716981132075
"2","Cat E (Open)","Mar 2009",5982,1.59895833333333
"1","Cat A (Cars up to 1600cc and 97kW)","Apr 2009",7090,1.4512893982808
"1","Cat B (Cars above 1600cc or 97kW)","Apr 2009",7501,1.36136662286465
"1","Cat D (Motorcycles)","Apr 2009",1053,1.39386189258312
"1","Cat C (Goods vehicles and buses)","Apr 2009",7302,2.2375
"1","Cat E (Open)","Apr 2009",7326,1.66944444444444
"2","Cat A (Cars up to 1600cc and 97kW)","Apr 2009",7589,1.36532951289398
"2","Cat B (Cars above 1600cc or 97kW)","Apr 2009",7490,1.30169050715215
"2","Cat D (Motorcycles)","Apr 2009",889,1.31828978622328
"2","Cat C (Goods vehicles and buses)","Apr 2009",6610,1.57251908396947
"2","Cat E (Open)","Apr 2009",7789,1.90376569037657
"1","Cat A (Cars up to 1600cc and 97kW)","May 2009",8489,1.45916905444126
"1","Cat B (Cars above 1600cc or 97kW)","May 2009",7552,1.25429975429975
"1","Cat D (Motorcycles)","May 2009",902,1.4515306122449
"1","Cat C (Goods vehicles and buses)","May 2009",7100,1.34199134199134
"1","Cat E (Open)","May 2009",8501,1.96787709497207
"2","Cat A (Cars up to 1600cc and 97kW)","May 2009",9889,1.42582025677603
"2","Cat B (Cars above 1600cc or 97kW)","May 2009",9180,1.3578811369509
"2","Cat D (Motorcycles)","May 2009",810,1.36132315521628
"2","Cat C (Goods vehicles and buses)","May 2009",7600,1.34453781512605
"2","Cat E (Open)","May 2009",10046,1.77241379310345
"1","Cat A (Cars up to 1600cc and 97kW)","Jun 2009",11690,1.4039971448965
"1","Cat B (Cars above 1600cc or 97kW)","Jun 2009",11889,1.48815789473684
"1","Cat D (Motorcycles)","Jun 2009",889,1.16256157635468
"1","Cat C (Goods vehicles and buses)","Jun 2009",9690,1.35443037974684
"1","Cat E (Open)","Jun 2009",12901,1.8567454798331
"2","Cat A (Cars up to 1600cc and 97kW)","Jun 2009",12899,1.22614840989399
"2","Cat B (Cars above 1600cc or 97kW)","Jun 2009",14840,1.40263157894737
"2","Cat D (Motorcycles)","Jun 2009",901,1.40987654320988
"2","Cat C (Goods vehicles and buses)","Jun 2009",12615,1.65145228215768
"2","Cat E (Open)","Jun 2009",15100,2.11436541143654
"1","Cat A (Cars up to 1600cc and 97kW)","Jul 2009",14310,1.1779359430605
"1","Cat B (Cars above 1600cc or 97kW)","Jul 2009",16801,1.34871794871795
"1","Cat D (Motorcycles)","Jul 2009",900,1.19431279620853
"1","Cat C (Goods vehicles and buses)","Jul 2009",16888,1.24034334763948
"1","Cat E (Open)","Jul 2009",17501,1.775
"2","Cat A (Cars up to 1600cc and 97kW)","Jul 2009",15291,1.13849431818182
"2","Cat B (Cars above 1600cc or 97kW)","Jul 2009",18501,1.30183727034121
"2","Cat D (Motorcycles)","Jul 2009",889,1.08080808080808
"2","Cat C (Goods vehicles and buses)","Jul 2009",17410,1.62068965517241
"2","Cat E (Open)","Jul 2009",18189,1.88826815642458
"1","Cat A (Cars up to 1600cc and 97kW)","Aug 2009",13658,1.1168458781362
"1","Cat B (Cars above 1600cc or 97kW)","Aug 2009",18890,1.2257217847769
"1","Cat D (Motorcycles)","Aug 2009",902,1.17557251908397
"1","Cat C (Goods vehicles and buses)","Aug 2009",18801,1.22314049586777
"1","Cat E (Open)","Aug 2009",19629,1.64737550471063
"2","Cat A (Cars up to 1600cc and 97kW)","Aug 2009",15019,1.12329749103943
"2","Cat B (Cars above 1600cc or 97kW)","Aug 2009",16290,1.13248407643312
"2","Cat D (Motorcycles)","Aug 2009",882,1.38717948717949
"2","Cat C (Goods vehicles and buses)","Aug 2009",17501,1.48085106382979
"2","Cat E (Open)","Aug 2009",17905,1.64632454923717
"1","Cat A (Cars up to 1600cc and 97kW)","Sept 2009",18020,1.32186379928315
"1","Cat B (Cars above 1600cc or 97kW)","Sept 2009",19289,1.30769230769231
"1","Cat D (Motorcycles)","Sept 2009",1051,1.1358024691358
"1","Cat C (Goods vehicles and buses)","Sept 2009",16001,1.74891774891775
"1","Cat E (Open)","Sept 2009",19830,1.6994459833795
"2","Cat A (Cars up to 1600cc and 97kW)","Sept 2009",15589,1.08838203848895
"2","Cat B (Cars above 1600cc or 97kW)","Sept 2009",19801,1.20105124835742
"2","Cat D (Motorcycles)","Sept 2009",900,1.21375921375921
"2","Cat C (Goods vehicles and buses)","Sept 2009",15000,1.45569620253165
"2","Cat E (Open)","Sept 2009",20200,1.73743016759777
"1","Cat A (Cars up to 1600cc and 97kW)","Oct 2009",16201,1.20938314509123
"1","Cat B (Cars above 1600cc or 97kW)","Oct 2009",18109,1.19124087591241
"1","Cat D (Motorcycles)","Oct 2009",902,1.17534246575342
"1","Cat C (Goods vehicles and buses)","Oct 2009",21692,1.44311377245509
"1","Cat E (Open)","Oct 2009",21301,1.81849315068493
"2","Cat A (Cars up to 1600cc and 97kW)","Oct 2009",18899,1.3437771975631
"2","Cat B (Cars above 1600cc or 97kW)","Oct 2009",19510,1.2093023255814
"2","Cat D (Motorcycles)","Oct 2009",931,1.19505494505495
"2","Cat C (Goods vehicles and buses)","Oct 2009",18110,1.51724137931034
"2","Cat E (Open)","Oct 2009",19901,1.8277027027027
"1","Cat A (Cars up to 1600cc and 97kW)","Nov 2009",16747,1.13784665579119
"1","Cat B (Cars above 1600cc or 97kW)","Nov 2009",18389,1.10653409090909
"1","Cat D (Motorcycles)","Nov 2009",902,1.20526315789474
"1","Cat C (Goods vehicles and buses)","Nov 2009",16989,1.50898203592814
"1","Cat E (Open)","Nov 2009",19000,1.58591065292096
"2","Cat A (Cars up to 1600cc and 97kW)","Nov 2009",17189,1.10034904013962
"2","Cat B (Cars above 1600cc or 97kW)","Nov 2009",18002,1.16011644832606
"2","Cat D (Motorcycles)","Nov 2009",851,1.06887052341598
"2","Cat C (Goods vehicles and buses)","Nov 2009",17000,1.55757575757576
"2","Cat E (Open)","Nov 2009",18267,1.47529812606474
"1","Cat A (Cars up to 1600cc and 97kW)","Dec 2009",18502,1.44048653344917
"1","Cat B (Cars above 1600cc or 97kW)","Dec 2009",19003,1.23843930635838
"1","Cat D (Motorcycles)","Dec 2009",854,1.31043256997455
"1","Cat C (Goods vehicles and buses)","Dec 2009",18289,2
"1","Cat E (Open)","Dec 2009",18509,1.44312393887946
"2","Cat A (Cars up to 1600cc and 97kW)","Dec 2009",18150,1.27391304347826
"2","Cat B (Cars above 1600cc or 97kW)","Dec 2009",17889,1.17073170731707
"2","Cat D (Motorcycles)","Dec 2009",851,1.23140495867769
"2","Cat C (Goods vehicles and buses)","Dec 2009",17900,1.56353591160221
"2","Cat E (Open)","Dec 2009",17889,1.72680412371134
"1","Cat A (Cars up to 1600cc and 97kW)","Jan 2010",18502,1.16493055555556
"1","Cat B (Cars above 1600cc or 97kW)","Jan 2010",19190,1.28529839883552
"1","Cat D (Motorcycles)","Jan 2010",889,1.36461126005362
"1","Cat C (Goods vehicles and buses)","Jan 2010",19001,1.53179190751445
"1","Cat E (Open)","Jan 2010",19889,1.72525597269625
"2","Cat A (Cars up to 1600cc and 97kW)","Jan 2010",20501,1.45351867940921
"2","Cat B (Cars above 1600cc or 97kW)","Jan 2010",22400,1.54114365411437
"2","Cat D (Motorcycles)","Jan 2010",852,1.45767195767196
"2","Cat C (Goods vehicles and buses)","Jan 2010",20090,1.54696132596685
"2","Cat E (Open)","Jan 2010",21899,2.24829931972789
"1","Cat A (Cars up to 1600cc and 97kW)","Feb 2010",19989,1.14904679376083
"1","Cat B (Cars above 1600cc or 97kW)","Feb 2010",23180,1.34199134199134
"1","Cat D (Motorcycles)","Feb 2010",852,1.41509433962264
"1","Cat C (Goods vehicles and buses)","Feb 2010",21390,1.51515151515152
"1","Cat E (Open)","Feb 2010",22401,1.77870216306156
"2","Cat A (Cars up to 1600cc and 97kW)","Feb 2010",20340,1.30052264808362
"2","Cat B (Cars above 1600cc or 97kW)","Feb 2010",23889,1.3956204379562
"2","Cat D (Motorcycles)","Feb 2010",1001,1.30027548209366
"2","Cat C (Goods vehicles and buses)","Feb 2010",23501,1.64739884393064
"2","Cat E (Open)","Feb 2010",24229,2.1271186440678
"1","Cat A (Cars up to 1600cc and 97kW)","Mar 2010",20802,1.53135888501742
"1","Cat B (Cars above 1600cc or 97kW)","Mar 2010",26389,1.57994186046512
"1","Cat D (Motorcycles)","Mar 2010",1159,1.21298701298701
"1","Cat C (Goods vehicles and buses)","Mar 2010",27001,1.5297619047619
"1","Cat E (Open)","Mar 2010",27590,2.01703577512777
"2","Cat A (Cars up to 1600cc and 97kW)","Mar 2010",28389,1.90488656195462
"2","Cat B (Cars above 1600cc or 97kW)","Mar 2010",36089,1.69760900140647
"2","Cat D (Motorcycles)","Mar 2010",1200,1.33423180592992
"2","Cat C (Goods vehicles and buses)","Mar 2010",32890,2.0297619047619
"2","Cat E (Open)","Mar 2010",42001,2.58047945205479
"1","Cat A (Cars up to 1600cc and 97kW)","Apr 2010",34001,1.95602836879433
"1","Cat B (Cars above 1600cc or 97kW)","Apr 2010",45501,1.50262697022767
"1","Cat D (Motorcycles)","Apr 2010",1221,1.21005917159763
"1","Cat C (Goods vehicles and buses)","Apr 2010",36511,1.82777777777778
"1","Cat E (Open)","Apr 2010",49000,2.3010752688172
"2","Cat A (Cars up to 1600cc and 97kW)","Apr 2010",30000,1.75920679886686
"2","Cat B (Cars above 1600cc or 97kW)","Apr 2010",40001,1.59714795008913
"2","Cat D (Motorcycles)","Apr 2010",1253,1.12979351032448
"2","Cat C (Goods vehicles and buses)","Apr 2010",35556,1.4679802955665
"2","Cat E (Open)","Apr 2010",43003,1.81794871794872
"1","Cat A (Cars up to 1600cc and 97kW)","May 2010",26102,1.60545905707196
"1","Cat B (Cars above 1600cc or 97kW)","May 2010",38000,1.58
"1","Cat D (Motorcycles)","May 2010",1252,1.22058823529412
"1","Cat C (Goods vehicles and buses)","May 2010",32501,1.74074074074074
"1","Cat E (Open)","May 2010",39002,2.12128712871287
"2","Cat A (Cars up to 1600cc and 97kW)","May 2010",27389,1.48211731044349
"2","Cat B (Cars above 1600cc or 97kW)","May 2010",34600,1.27450980392157
"2","Cat D (Motorcycles)","May 2010",1312,1.28571428571429
"2","Cat C (Goods vehicles and buses)","May 2010",29389,1.68181818181818
"2","Cat E (Open)","May 2010",39000,1.6566757493188
"1","Cat A (Cars up to 1600cc and 97kW)","Jun 2010",30051,1.56798866855524
"1","Cat B (Cars above 1600cc or 97kW)","Jun 2010",40002,1.40867992766727
"1","Cat D (Motorcycles)","Jun 2010",1452,1.40389972144847
"1","Cat C (Goods vehicles and buses)","Jun 2010",30189,1.53370786516854
"1","Cat E (Open)","Jun 2010",41000,1.77008310249307
"2","Cat A (Cars up to 1600cc and 97kW)","Jun 2010",31510,1.29041487839771
"2","Cat B (Cars above 1600cc or 97kW)","Jun 2010",39911,1.29263913824057
"2","Cat D (Motorcycles)","Jun 2010",1454,1.10588235294118
"2","Cat C (Goods vehicles and buses)","Jun 2010",31689,1.39010989010989
"2","Cat E (Open)","Jun 2010",41006,1.88397790055249
"1","Cat A (Cars up to 1600cc and 97kW)","Jul 2010",29501,1.27571428571429
"1","Cat B (Cars above 1600cc or 97kW)","Jul 2010",35909,1.20466786355476
"1","Cat D (Motorcycles)","Jul 2010",1320,1.35612535612536
"1","Cat C (Goods vehicles and buses)","Jul 2010",31389,1.56497175141243
"1","Cat E (Open)","Jul 2010",41010,1.65413533834586
"2","Cat A (Cars up to 1600cc and 97kW)","Jul 2010",36162,1.38340486409156
"2","Cat B (Cars above 1600cc or 97kW)","Jul 2010",42889,1.61231884057971
"2","Cat D (Motorcycles)","Jul 2010",1290,1.10385756676558
"2","Cat C (Goods vehicles and buses)","Jul 2010",30601,1.55737704918033
"2","Cat E (Open)","Jul 2010",43565,1.99724517906336
"1","Cat A (Cars up to 1600cc and 97kW)","Aug 2010",32104,1.26366559485531
"1","Cat B (Cars above 1600cc or 97kW)","Aug 2010",43334,1.38204592901879
"1","Cat D (Motorcycles)","Aug 2010",1301,1.14285714285714
"1","Cat C (Goods vehicles and buses)","Aug 2010",30112,1.38536585365854
"1","Cat E (Open)","Aug 2010",42901,1.92233009708738
"2","Cat A (Cars up to 1600cc and 97kW)","Aug 2010",29000,1.60891089108911
"2","Cat B (Cars above 1600cc or 97kW)","Aug 2010",42810,1.41701244813278
"2","Cat D (Motorcycles)","Aug 2010",1251,1.10149253731343
"2","Cat C (Goods vehicles and buses)","Aug 2010",30002,1.33495145631068
"2","Cat E (Open)","Aug 2010",43501,1.85079365079365
"1","Cat A (Cars up to 1600cc and 97kW)","Sept 2010",33089,1.22820919175911
"1","Cat B (Cars above 1600cc or 97kW)","Sept 2010",44129,1.580375782881
"1","Cat D (Motorcycles)","Sept 2010",1502,1.32456140350877
"1","Cat C (Goods vehicles and buses)","Sept 2010",33000,1.42647058823529
"1","Cat E (Open)","Sept 2010",44001,1.48387096774194
"2","Cat A (Cars up to 1600cc and 97kW)","Sept 2010",30001,1.66331658291457
"2","Cat B (Cars above 1600cc or 97kW)","Sept 2010",42501,1.32786885245902
"2","Cat D (Motorcycles)","Sept 2010",1452,1.07692307692308
"2","Cat C (Goods vehicles and buses)","Sept 2010",31001,1.31553398058252
"2","Cat E (Open)","Sept 2010",43290,1.68284789644013
"1","Cat A (Cars up to 1600cc and 97kW)","Oct 2010",33132,1.20133111480865
"1","Cat B (Cars above 1600cc or 97kW)","Oct 2010",42801,1.31524008350731
"1","Cat D (Motorcycles)","Oct 2010",1502,1.2231884057971
"1","Cat C (Goods vehicles and buses)","Oct 2010",30889,1.31651376146789
"1","Cat E (Open)","Oct 2010",44090,1.66559485530547
"2","Cat A (Cars up to 1600cc and 97kW)","Oct 2010",32415,1.26275115919629
"2","Cat B (Cars above 1600cc or 97kW)","Oct 2010",44600,1.59916492693111
"2","Cat D (Motorcycles)","Oct 2010",1689,1.29129129129129
"2","Cat C (Goods vehicles and buses)","Oct 2010",30511,1.36666666666667
"2","Cat E (Open)","Oct 2010",44900,1.46302250803859
"1","Cat A (Cars up to 1600cc and 97kW)","Nov 2010",34001,1.40969899665552
"1","Cat B (Cars above 1600cc or 97kW)","Nov 2010",45501,1.4896265560166
"1","Cat D (Motorcycles)","Nov 2010",1452,1.15966386554622
"1","Cat C (Goods vehicles and buses)","Nov 2010",31006,1.31707317073171
"1","Cat E (Open)","Nov 2010",46001,1.57278481012658
"2","Cat A (Cars up to 1600cc and 97kW)","Nov 2010",39000,1.39530988274707
"2","Cat B (Cars above 1600cc or 97kW)","Nov 2010",47890,1.47708333333333
"2","Cat D (Motorcycles)","Nov 2010",1502,1.17451523545706
"2","Cat C (Goods vehicles and buses)","Nov 2010",31202,1.17560975609756
"2","Cat E (Open)","Nov 2010",49890,1.9039039039039
"1","Cat A (Cars up to 1600cc and 97kW)","Dec 2010",47604,1.7056856187291
"1","Cat B (Cars above 1600cc or 97kW)","Dec 2010",62502,2.15866388308977
"1","Cat D (Motorcycles)","Dec 2010",1701,1.21661721068249
"1","Cat C (Goods vehicles and buses)","Dec 2010",32001,1.41346153846154
"1","Cat E (Open)","Dec 2010",64900,2.15335463258786
"2","Cat A (Cars up to 1600cc and 97kW)","Dec 2010",46129,1.22366288492707
"2","Cat B (Cars above 1600cc or 97kW)","Dec 2010",72001,1.74749498997996
"2","Cat D (Motorcycles)","Dec 2010",1551,1.10027100271003
"2","Cat C (Goods vehicles and buses)","Dec 2010",33501,1.44230769230769
"2","Cat E (Open)","Dec 2010",76102,1.4887459807074
"1","Cat A (Cars up to 1600cc and 97kW)","Jan 2011",38889,1.9413680781759
"1","Cat B (Cars above 1600cc or 97kW)","Jan 2011",69000,1.64241164241164
"1","Cat D (Motorcycles)","Jan 2011",1503,1.17058823529412
"1","Cat C (Goods vehicles and buses)","Jan 2011",35111,1.43414634146341
"1","Cat E (Open)","Jan 2011",75789,1.53721682847896
"2","Cat A (Cars up to 1600cc and 97kW)","Jan 2011",40123,1.79736408566722
"2","Cat B (Cars above 1600cc or 97kW)","Jan 2011",58910,1.44927536231884
"2","Cat D (Motorcycles)","Jan 2011",1690,1.35103244837758
"2","Cat C (Goods vehicles and buses)","Jan 2011",30000,1.31400966183575
"2","Cat E (Open)","Jan 2011",67009,1.35736677115987
